@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sessionId numeric
@attribute default {0,1,2}
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
55,0,assis,pur,cotv,'Third Party Share',opti,0
59,1,alarm,pur,colight,'Remote Server',reco,1
61,2,watch,pur,itself,'Remote Server',nothing,0
64,1,tv,pur,cowash,'Remote Server',opti,0
66,0,tv,pur,corefri,'Third Party Share',opti,1
67,0,alarm,pur,coalarm,Locally,nothing,1
68,2,assis,pur,cowash,'Remote Server',insight,0
69,0,tv,pur,corefri,Locally,nothing,1
70,1,tv,pur,cosecu,Locally,insight,1
71,1,alarm,pur,corefri,'Third Party Share',reco,1
72,2,watch,pur,cotv,'Remote Server',opti,0
73,2,alarm,pur,cohvac,'Third Party Share',insight,0
82,1,tv,pur,cotv,Locally,insight,1
84,2,tv,pur,cosecu,'Remote Server',opti,1
85,2,alarm,pur,coassis,'Remote Server',nothing,0
87,0,watch,pur,itself,'Third Party Share',opti,1
88,2,assis,pur,cohvac,Locally,insight,0
91,1,alarm,pur,cotv,'Third Party Share',nothing,0
92,2,tv,pur,cowash,Locally,insight,0
93,0,assis,pur,corefri,Locally,nothing,1
94,2,tv,pur,colight,'Remote Server',insight,0
95,2,tv,pur,corefri,Locally,nothing,1
96,2,watch,pur,itself,'Third Party Share',reco,0
97,2,watch,pur,itself,'Remote Server',insight,0
98,1,alarm,pur,coalarm,'Remote Server',insight,0
99,1,watch,pur,itself,Locally,insight,1
100,2,watch,pur,cosecu,Locally,opti,0
102,1,watch,pur,itself,'Third Party Share',reco,1
103,2,alarm,pur,cowash,'Third Party Share',insight,1
105,2,assis,pur,cohvac,'Third Party Share',reco,1
106,0,assis,pur,coassis,'Remote Server',reco,1
107,1,tv,pur,coalarm,Locally,nothing,1
108,2,watch,pur,cosecu,'Third Party Share',opti,0
109,2,assis,pur,corefri,Locally,reco,1
110,1,assis,pur,coalarm,'Third Party Share',nothing,0
111,0,alarm,pur,cohvac,'Third Party Share',reco,0
113,1,assis,pur,coalarm,'Third Party Share',insight,0
116,0,alarm,pur,coassis,'Third Party Share',insight,1
119,0,assis,pur,coalarm,'Remote Server',insight,1
121,0,watch,pur,corefri,'Remote Server',opti,0
124,0,tv,pur,cosecu,'Third Party Share',reco,0
126,2,watch,pur,cohvac,Locally,nothing,1
127,0,assis,pur,cowash,'Remote Server',opti,1
128,1,watch,pur,cosecu,'Remote Server',nothing,1
129,1,watch,pur,colight,Locally,reco,1
131,0,tv,pur,cotv,'Remote Server',nothing,0
132,2,alarm,pur,cohvac,Locally,insight,0
135,2,assis,pur,coalarm,'Remote Server',insight,1
136,2,tv,pur,cohvac,Locally,reco,1
139,1,tv,pur,corefri,Locally,reco,0
140,2,alarm,pur,colight,'Third Party Share',opti,1
141,1,watch,pur,cohvac,Locally,insight,1
149,1,tv,pur,corefri,Locally,nothing,0
152,2,tv,pur,cosecu,Locally,insight,0
153,2,alarm,pur,coassis,Locally,insight,1
156,0,watch,pur,cohvac,Locally,insight,1
157,1,watch,pur,coassis,'Third Party Share',opti,1
158,0,alarm,pur,cotv,'Remote Server',insight,0
222,2,alarm,pur,cohvac,'Third Party Share',opti,0
159,1,assis,pur,cotv,Locally,reco,1
162,0,tv,pur,cowash,Locally,reco,1
163,0,watch,pur,colight,Locally,insight,0
164,2,watch,pur,colight,Locally,opti,1
241,1,assis,pur,cosecu,'Remote Server',nothing,1
166,1,assis,pur,cowash,'Third Party Share',nothing,1
167,1,watch,pur,colight,'Remote Server',nothing,1
168,0,alarm,pur,cohvac,'Remote Server',opti,0
205,2,alarm,pur,colight,Locally,nothing,1
169,2,assis,pur,cotv,Locally,nothing,0
170,2,alarm,pur,coassis,'Third Party Share',opti,1
172,0,assis,pur,cotv,Locally,reco,1
173,0,alarm,pur,cowash,Locally,nothing,1
174,2,alarm,pur,cosecu,'Remote Server',opti,1
175,0,watch,pur,cohvac,Locally,opti,1
212,0,alarm,pur,coassis,Locally,opti,1
178,1,tv,pur,coassis,Locally,insight,1
179,1,tv,pur,cosecu,'Third Party Share',reco,1
181,2,assis,pur,coassis,Locally,nothing,1
229,0,tv,pur,cotv,'Third Party Share',reco,1
234,0,watch,pur,cotv,'Third Party Share',insight,0
185,2,watch,pur,cotv,Locally,reco,0
189,1,tv,pur,colight,Locally,opti,1
190,1,assis,pur,coassis,'Third Party Share',insight,0
193,0,alarm,pur,corefri,Locally,opti,0
194,2,alarm,pur,coalarm,'Third Party Share',reco,0
195,2,alarm,pur,corefri,'Remote Server',insight,0
197,2,alarm,pur,cotv,Locally,opti,0
200,0,alarm,pur,cotv,Locally,opti,1
206,1,watch,pur,cotv,'Third Party Share',nothing,0
208,1,tv,pur,coassis,'Remote Server',nothing,1
209,2,tv,pur,coalarm,Locally,opti,1
210,1,assis,pur,cowash,'Remote Server',opti,1
213,2,alarm,pur,cohvac,'Remote Server',insight,1
248,2,assis,pur,coassis,Locally,opti,1
221,0,watch,pur,itself,'Third Party Share',reco,1
224,0,tv,pur,coassis,'Remote Server',nothing,1
225,0,assis,pur,cowash,'Third Party Share',nothing,0
228,1,assis,pur,cosecu,Locally,nothing,1
236,2,tv,pur,colight,'Remote Server',nothing,0
230,2,tv,pur,cotv,'Remote Server',opti,1
231,2,assis,pur,cohvac,'Remote Server',insight,0
232,0,tv,pur,coassis,'Remote Server',opti,0
233,1,tv,pur,cohvac,'Third Party Share',reco,1
251,2,watch,pur,cohvac,'Remote Server',insight,1
239,2,tv,pur,cohvac,'Remote Server',reco,1
240,2,alarm,pur,cohvac,Locally,opti,1
242,2,watch,pur,cohvac,Locally,reco,1
243,0,watch,pur,coalarm,'Remote Server',opti,1
245,0,watch,pur,cohvac,'Remote Server',insight,1
246,0,watch,pur,cotv,'Remote Server',nothing,0
316,2,alarm,pur,cotv,'Third Party Share',opti,1
268,1,alarm,pur,colight,'Third Party Share',reco,1
261,2,alarm,pur,coalarm,'Remote Server',insight,1
262,1,alarm,pur,corefri,'Third Party Share',insight,0
270,0,tv,pur,coalarm,Locally,nothing,1
274,2,watch,pur,cohvac,'Third Party Share',opti,1
275,2,tv,pur,cowash,'Remote Server',insight,1
279,0,assis,pur,cohvac,'Third Party Share',nothing,1
280,1,tv,pur,corefri,'Remote Server',insight,1
281,1,assis,pur,colight,'Remote Server',nothing,1
282,1,watch,pur,cohvac,'Remote Server',opti,1
290,2,watch,pur,colight,Locally,insight,1
291,0,alarm,pur,cowash,Locally,opti,1
292,2,tv,pur,coassis,'Third Party Share',reco,0
293,2,watch,pur,corefri,Locally,opti,0
295,2,alarm,pur,corefri,'Third Party Share',reco,0
296,1,assis,pur,cowash,Locally,nothing,1
297,2,assis,pur,coalarm,Locally,insight,0
298,2,assis,pur,cosecu,'Remote Server',opti,1
299,2,tv,pur,cowash,'Remote Server',reco,1
300,0,tv,pur,cotv,Locally,insight,0
301,1,watch,pur,colight,'Third Party Share',insight,0
302,0,tv,pur,cohvac,'Remote Server',insight,1
303,0,alarm,pur,cosecu,'Remote Server',reco,0
304,2,watch,pur,cosecu,'Remote Server',opti,1
305,2,tv,pur,colight,Locally,insight,1
306,0,watch,pur,coalarm,Locally,reco,1
307,0,tv,pur,coalarm,'Remote Server',nothing,0
324,1,assis,pur,cosecu,Locally,reco,1
309,0,watch,pur,corefri,Locally,reco,1
310,1,assis,pur,corefri,'Remote Server',nothing,0
343,0,alarm,pur,coalarm,Locally,insight,1
311,2,watch,pur,cosecu,'Third Party Share',insight,0
312,0,watch,pur,coalarm,'Third Party Share',nothing,0
313,2,tv,pur,cohvac,'Third Party Share',insight,0
314,0,tv,pur,cowash,'Remote Server',insight,1
318,1,watch,pur,itself,'Remote Server',nothing,1
321,1,assis,pur,cohvac,Locally,nothing,1
325,0,assis,pur,coassis,Locally,reco,1
326,1,alarm,pur,cohvac,Locally,nothing,1
328,1,assis,pur,cohvac,Locally,insight,1
338,0,alarm,pur,coalarm,'Third Party Share',opti,0
339,2,assis,pur,cosecu,Locally,insight,1
341,1,tv,pur,cotv,'Third Party Share',reco,0
348,0,assis,pur,corefri,'Remote Server',reco,1
350,1,watch,pur,coalarm,Locally,insight,1
354,0,watch,pur,colight,'Third Party Share',reco,0
360,0,alarm,pur,cohvac,Locally,nothing,0
355,1,tv,pur,colight,'Remote Server',insight,1
357,0,alarm,pur,coalarm,'Third Party Share',insight,0
358,2,assis,pur,colight,'Remote Server',opti,1
363,1,tv,pur,corefri,Locally,opti,1
365,1,assis,pur,coassis,'Third Party Share',reco,0
369,2,tv,pur,coassis,'Third Party Share',nothing,0
372,0,watch,pur,coassis,'Third Party Share',opti,1
374,2,watch,pur,corefri,'Third Party Share',reco,0
375,1,watch,pur,cosecu,Locally,opti,1
380,0,alarm,pur,corefri,Locally,reco,0
382,1,alarm,pur,cosecu,Locally,opti,0
383,1,assis,pur,cohvac,'Third Party Share',opti,1
386,1,alarm,pur,coassis,Locally,insight,1
387,1,tv,pur,cowash,'Remote Server',reco,0
389,1,assis,pur,cosecu,'Third Party Share',nothing,0
390,1,tv,pur,cosecu,'Remote Server',insight,0
393,0,tv,pur,coalarm,Locally,insight,1
398,2,watch,pur,coassis,'Third Party Share',opti,1
399,0,assis,pur,colight,'Third Party Share',reco,0
400,1,assis,pur,coalarm,Locally,opti,1
401,1,alarm,pur,coassis,'Third Party Share',reco,1
405,0,alarm,pur,coalarm,'Remote Server',opti,0
406,1,tv,pur,cosecu,Locally,reco,1
407,2,watch,pur,coassis,'Remote Server',insight,1
408,0,alarm,pur,corefri,'Remote Server',opti,1
410,2,tv,pur,coassis,Locally,nothing,1
412,1,assis,pur,cosecu,'Third Party Share',insight,1
413,1,assis,pur,coassis,'Remote Server',nothing,0
418,0,watch,pur,colight,'Remote Server',opti,1
421,0,watch,pur,itself,'Remote Server',opti,0
429,1,tv,pur,coassis,'Third Party Share',insight,1
430,1,alarm,pur,coassis,Locally,opti,1
431,2,watch,pur,cosecu,'Remote Server',insight,1
432,2,tv,pur,cosecu,Locally,nothing,0
434,1,alarm,pur,cohvac,'Third Party Share',nothing,1
436,2,assis,pur,coassis,'Remote Server',opti,1
438,0,watch,pur,corefri,'Third Party Share',opti,0
439,1,assis,pur,cotv,'Third Party Share',reco,1
440,2,watch,pur,coassis,'Remote Server',reco,0
444,0,assis,pur,cohvac,'Third Party Share',opti,1
446,0,tv,pur,colight,'Third Party Share',insight,0
447,2,watch,pur,coalarm,'Remote Server',opti,1
452,0,alarm,pur,cohvac,'Remote Server',nothing,0
455,2,watch,pur,coassis,Locally,reco,1
456,1,tv,pur,cohvac,Locally,insight,1
457,1,alarm,pur,cowash,'Remote Server',insight,0
462,0,alarm,pur,cowash,'Remote Server',reco,0
463,1,tv,pur,cohvac,'Third Party Share',insight,0
465,1,alarm,pur,colight,'Third Party Share',opti,1
467,0,assis,pur,cowash,'Third Party Share',reco,0
469,2,alarm,pur,cotv,Locally,nothing,1
470,1,watch,pur,coassis,Locally,opti,1
471,1,tv,pur,cotv,Locally,reco,0
473,1,alarm,pur,corefri,'Remote Server',opti,1
475,1,tv,pur,cohvac,'Remote Server',nothing,1
479,2,watch,pur,cotv,'Remote Server',reco,1
480,1,alarm,pur,cotv,'Third Party Share',insight,1
481,0,tv,pur,cosecu,'Remote Server',nothing,1
482,0,assis,pur,coassis,'Third Party Share',nothing,0
484,2,watch,pur,cohvac,'Remote Server',nothing,1
485,2,watch,pur,colight,'Remote Server',nothing,1
486,1,alarm,pur,colight,Locally,opti,1
489,0,alarm,pur,cosecu,'Remote Server',opti,0
491,2,alarm,pur,cowash,'Remote Server',reco,0
492,0,watch,pur,cosecu,'Third Party Share',opti,0
493,2,assis,pur,cosecu,'Third Party Share',nothing,0
496,1,assis,pur,coalarm,'Third Party Share',reco,1
498,0,assis,pur,cowash,Locally,nothing,1
499,1,tv,pur,cohvac,'Third Party Share',nothing,0
500,2,alarm,pur,cowash,'Remote Server',insight,1
502,0,watch,pur,cotv,'Third Party Share',opti,1
504,1,assis,pur,cosecu,'Remote Server',insight,1
505,2,watch,pur,corefri,Locally,nothing,1
506,1,watch,pur,itself,'Third Party Share',opti,0
507,1,tv,pur,cosecu,'Remote Server',opti,1
508,1,tv,pur,cohvac,Locally,nothing,1
509,1,alarm,pur,coalarm,Locally,opti,1
511,2,watch,pur,cosecu,Locally,reco,1
512,0,assis,pur,cosecu,Locally,nothing,1
513,0,alarm,pur,cosecu,'Remote Server',insight,0
515,1,tv,pur,colight,'Remote Server',nothing,1
517,2,tv,pur,cosecu,'Third Party Share',nothing,1
520,1,tv,pur,coassis,Locally,opti,1
521,0,assis,pur,cohvac,Locally,insight,1
523,0,alarm,pur,coassis,'Remote Server',opti,0
525,2,alarm,pur,cohvac,'Third Party Share',reco,0
527,1,alarm,pur,corefri,Locally,reco,0
528,1,watch,pur,cosecu,'Remote Server',insight,1
530,0,tv,pur,corefri,'Remote Server',insight,1
531,1,alarm,pur,cosecu,Locally,insight,1
533,2,watch,pur,cohvac,Locally,insight,0
535,1,alarm,pur,cotv,'Third Party Share',opti,0
537,2,tv,pur,cotv,'Third Party Share',reco,0
538,0,alarm,pur,cowash,'Remote Server',opti,1
540,2,assis,pur,coalarm,'Remote Server',reco,0
541,2,tv,pur,colight,Locally,opti,1
542,2,assis,pur,corefri,'Remote Server',insight,1
543,0,watch,pur,corefri,'Third Party Share',nothing,1
544,0,alarm,pur,coalarm,Locally,opti,1
546,0,assis,pur,coalarm,'Remote Server',nothing,0
547,0,assis,pur,corefri,'Remote Server',opti,1
549,2,alarm,pur,cosecu,'Third Party Share',reco,0
550,2,tv,pur,coalarm,'Third Party Share',nothing,0
552,1,watch,pur,coassis,'Third Party Share',insight,1
553,1,watch,pur,corefri,Locally,nothing,1
555,2,assis,pur,coassis,'Remote Server',reco,0
557,2,assis,pur,cotv,'Third Party Share',opti,0
560,2,alarm,pur,colight,Locally,insight,0
566,0,alarm,pur,corefri,'Third Party Share',insight,1
569,2,assis,pur,corefri,'Third Party Share',reco,0
570,1,tv,pur,cowash,Locally,opti,0
571,2,watch,pur,cotv,'Third Party Share',nothing,0
573,1,alarm,pur,coalarm,'Remote Server',opti,1
574,0,assis,pur,cosecu,'Remote Server',opti,1
577,0,tv,pur,corefri,'Remote Server',opti,0
579,1,watch,pur,colight,'Third Party Share',opti,1
580,1,tv,pur,cohvac,Locally,reco,1
582,0,tv,pur,cosecu,Locally,reco,0
583,0,alarm,pur,cosecu,Locally,insight,0
584,1,watch,pur,coassis,'Remote Server',insight,1
585,1,assis,pur,coassis,Locally,insight,1
588,2,assis,pur,cosecu,Locally,opti,1
590,2,tv,pur,coalarm,Locally,nothing,0
591,0,watch,pur,colight,'Remote Server',insight,1
592,0,watch,pur,coassis,Locally,reco,0
593,1,alarm,pur,cohvac,'Remote Server',reco,0
595,2,alarm,pur,cotv,'Third Party Share',insight,1
597,2,assis,pur,cosecu,'Remote Server',nothing,0
598,0,watch,pur,cohvac,'Remote Server',nothing,1
599,0,alarm,pur,corefri,'Remote Server',insight,0
600,0,tv,pur,colight,'Remote Server',insight,1
601,1,watch,pur,coalarm,'Third Party Share',opti,1
603,0,alarm,pur,corefri,Locally,insight,1
605,2,watch,pur,colight,'Remote Server',opti,1
606,0,tv,pur,coassis,Locally,insight,1
607,2,tv,pur,coassis,Locally,reco,0
610,0,alarm,pur,cotv,Locally,reco,1
611,0,assis,pur,coalarm,Locally,reco,1
612,0,tv,pur,cowash,'Third Party Share',opti,1
614,0,alarm,pur,cowash,Locally,reco,1
615,1,assis,pur,coassis,Locally,nothing,1
616,1,tv,pur,coassis,'Remote Server',insight,1
617,2,assis,pur,coalarm,'Third Party Share',opti,1
619,2,alarm,pur,cotv,'Remote Server',insight,0
620,0,tv,pur,corefri,'Remote Server',reco,1
685,2,alarm,pur,colight,Locally,opti,0
621,0,assis,pur,colight,Locally,opti,1
622,2,tv,pur,cohvac,'Remote Server',insight,1
649,1,alarm,pur,cohvac,'Third Party Share',reco,1
